"advisor_raw","n_tesis","anio_min","anio_max","ejemplo_titulo","advisor_canonical_sugerido","notas"
"Dr. Alexander Dentler",7,2018,2020,"Search model: debit card or cash","",""
"Dr. Ricardo Massa Roldán",7,2022,2024,"Decisiones de inversión en el sector energético: una aplicación del análisis de opciones reales y modelo E-GARCH","",""
"Dr. Francisco Javier Cabrera Hernández",6,2023,2026,"La sangre se hereda, y la educación se apega: the role of educational transmission in relative social mobility in Mexico","",""
"Dr. Juan Ramón Hernández González",5,2023,2025,"El impacto de la política monetaria no convencional en los mercados financieros: evidencia del control de la curva de rendimientos del Banco de Japón","",""
"Dr. Arturo Antón Sarabia",3,2017,2019,"Mala asignación de recursos y distorsiones correlativas en México","",""
"Dra. María José Roa García",3,2008,2010,"Burbujas en el precio de bienes raíces","",""
"Dr. Florian Wendelspiess Chávez Juárez",2,2016,2019,"Los efectos fijos de las escuelas en el desempeño académico: un análisis de la educación en México","",""
"Dr. Kolver Hernández Arreortúa",2,2009,2009,"Desarrollo financiero y crecimiento económico en paises en desarrollo: un estudio comparativo","",""
"Dr. Ricardo Smith Ramírez",2,2008,2008,"Determinación de ciclos límites en economía de los recursos naturales: el caso de fijación de fósforo en suelos agrícolas","",""
"Dr. Ángel Nicolás Salinas González",2,2009,2011,"Evolución de la disponibilidad marginal a pagar por la educación básica en México y la estimación del subsidio: 2000-2006","",""
"Dr. Abraham Everardo Vela Dib",1,2008,2008,"Análisis de las expectativas inflacionarias y su impacto en la persistencia de la inflación en México","",""
"Dr. Adan L. Martinez-Cruz",1,2021,2021,"Non-market value of summer outdoor recreation in Val Bedretto, Switzerland","",""
"Dr. Adán Díaz Hernández",1,2023,2023,"Aprendizaje estadístico en la optimización de estrategias de inversión: un análisis de Random Forest y Extreme Gradient Boosting en la predicción de la dirección de la Bolsa de Valores de Nueva York","",""
"Dr. Alfredo Cuecuecha",1,2009,2009,"Impacto de las remesas sobre el crecimiento económico de México","",""
"Dr. Cesar Guerrero Luchtenberg",1,2006,2006,"Equilibrios secuenciales en juegos con horizonte infinito","",""
"Dr. Daniel Vaughan Caro",1,2016,2016,"¿Pueden los rendimientos de las acciones del Dow 30 ser pronosticadas por búsquedas en internet?","",""
"Dr. Daniel Ventosa",1,2025,2025,"Alcanzando a la capital: 80 años de desigualdad convergencia regional del producto en México","",""
"Dr. Francisco Eleazar Castillo Cerdas",1,2018,2018,"Definición de mercado relevante en asuntos de competencia económica: aplicación al mercado de gas LP en México","",""
"Dr. Jorge Omar Moreno Treviño",1,2021,2021,"Returns to schooling and skills in Mexico: a heterogeneous market","",""
"Dr. Juan Manuel Torres Rojo y Dra. Nicolaza Pariona Mendoza",1,2020,2020,"Análisis costo-beneficio del uso de las nanopartículas de cobre (Cu-NPs) como fungicidas","",""
"Dr. Leovardo Mata Mata",1,2024,2024,"Análisis del valor en riesgo: un estudio aplicado al Mercado Integrado Latinoamericano (MILA)","",""
"Dr. Lorenzo Menna",1,2019,2019,"Desviaciones en la paridad de tasas de interés cubierta: un análisis del caso mexicano","",""
"Dr. Luis Miguel Galindo Paliza",1,2008,2008,"Mecanismos de transmisión de la política monetaria: un estudio empírico para México con vectores autorregresivos estructurales, 1997-2007","",""
"Dr. Víctor Pavón Villamayor",1,2020,2020,"Competencia bancaria y estabilidad financiera: evidencia empírica para el caso de México","",""
"Dr. Ángel Nicolás Salinas Gonzalez",1,2007,2007,"Los retornos a la educación y la productividad del trabajo en México: ¿Hay un efecto Sheespkin?","",""
"Dra. Alejandra Elizondo Cordero",1,2024,2024,"El verano más frío del resto de nuestras vidas: el cambio climático y su efecto en la producción de maíz, un estudio para México de 1985-2022","",""
"Dra. Ana Laura Martínez Gutiérrez",1,2020,2020,"La carga cognitiva de las mujeres en el hogar mexicano","",""
"Dra. Blanca Heredia Rubio",1,2009,2009,"Análisis de los resultados de PISA 2006 (Programme for International Student Assesment) para México","",""
"Dra. Clara García Ayluardo y Dr. Víctor Gerardo Carreón Rodríguez",1,2007,2007,"Acercando la cerca, breve historia de un conflicto sin límites: en la región Chimalapa","",""
"Dra. Graciela Teruel Belismelis",1,2006,2006,"La relación entre la salud y la productividad laboral: dos dimensiones: el corto y el largo plazo: evidencia empírica para México","",""
"Dra. Isabel Melguizo López",1,2026,2026,"Default risk assessment in Mexican corporations: empirical validation of the Merton-Löffler model","",""
"Dra. Janina Virginia León Castillo",1,2012,2012,"El racionamiento crediticio para los microempresarios mexicanos: un modelo teórico y un modelo empírico","",""
"Dra. Laura Sour Vargas",1,2007,2007,"Descentralización del gasto en México: evidencia empírica del efecto flypaper a nivel municipal para el periodo 1990 a 2004","",""
